person/Quetion,Hot or cold weather?,Rice or noodles?, Gusto Or Saizeriya?,Twitter or Instagram?,Coke or pepsi?,Apple or orange juice?,Climb a mountain or run a marathon?,PC or console?,Pineapple on pizza yes or no?,Spicy or sweet food?,Tea or coffee?,Vacation at beach paradise of at famous metropolitan city?,Sleep naked or with clothes?,Favorite holiday?,"7-eleven, FamilyMart or Lawason?",Texting or talking on the phone?,Giving or receiving presents?,Walk 1 station or take the train?,What the colour of your panties?
HoloMember/Shion,Cold,Rice,Saizeriya,Twitter,Coke,,Climb a mountain,PC,No,Sweet,Tea,City,With clothes,,FamilyMart,Talking on the phone,Receiving,Walk 1 station,Pink
HoloMember/Subaru,Hot,Rice,Saizeriya,Twitter,Coke,,Climb a mountain,Console,Yes,Sweet,Tea,Beach,Naked,Christmas,FamilyMart,Talking on the phone,Receiving,Walk 1 station,Secret
HoloMember/Miko,Hot,Rice,Gusto,Twitter,Coke,,Climb a mountain,PC,No,Sweet,Tea,Beach,With clothes,Every Day,7-eleven,Texting,Receiving,Take the train,White
HoloMember/Mel,Hot,Rice,Saizeriya,Twitter,Coke,,Climb a mountain,PC,Yes,Sweet,Tea,City,With clothes,HollowWind,7-eleven,Talking on the phone,Giving,Take the train,No panties
HoloMember/Aki,Cold,Rice,Saizeriya,Twitter,Coke,,Climb a mountain,PC,No,Sweet,Tea,Beach,Naked,Christmas,Lawason,Talking on the phone,Giving,Take the train,Mint green
HoloMember/Suisei,Cold,Rice,Gusto,Twitter,,Orange juice,Run a marathon,PC,No,Spicy,Neither,City,With clothes,Christmas,Lawason,Talking on the phone,Giving,Walk 1 station,Secret
HoloMember/Roboco,Hot,Rice,Saizeriya,Twitter,,Apple juice,Climb a mountain,PC,No,Spicy,Tea,Beach,With clothes,Children's day,FamilyMart,Talking on the phone,Receiving,Take the train,Black
HoloMember/A,Hot,Rice,Both,Twitter,,Orange juice,Climb a mountain,Console,Yes,Spicy,Coffee,Beach,With clothes,Labor Thanksgiving Day,FamilyMart,Texting,Giving,Take the train,No panties
HoloMember/Coco,Cold,Rice,Saizeriya,Twitter,,Apple juice,Climb a mountain,PC,No,Sweet,Tea,Beach,With clothes,Christmas,Lawason,Texting,Receiving,Walk 1 station,No panties
HoloMember/Matsuri,Cold,Noodles,Saizeriya,Twitter,,Apple juice,Neither,PC,No,Sweet,Tea,City,With clothes,Christmas,FamilyMart,Talking on the phone,Giving,Take the train,Orange
HoloMember/AZKi,Hot,Rice,Saizeriya,Twitter,,Apple juice,Climb a mountain,PC,Yes,Spicy,Tea,Beach,With clothes,Christmas,7-eleven,Texting,Giving,Take the train,Leave it out to your imagination