Hot or cold weather?,Cold,Hot,,,,
Rice or noodles?,Rice,Noodles,,,,
Gusto Or Saizeriya?,Saizeriya,Gusto,Both,,,
Twitter or Instagram?,Twitter,Instagram,,,,
Coke or pepsi?,Coke,Pepsi,,,,
apple or orange juice?,Orange juice,Apple juice,,,,
Climb a mountain or run a marathon?,Climb a mountain,Run a marathon,,,,
PC or console?,PC,Console,,,,
pineapple on pizza yes or no?,Yes,No,,,,
Spicy or sweet food?,Sweet,Spicy,,,,
Tea or coffee?,Tea,Coffee,Neither,,,
Vacation at beach paradise of at famous metropolitan city?,Beach,City,,,,
Sleep naked or with clothes?,With clothes,Naked,,,,
Favorite holiday?,Christmas,HollowWind,Labor Thanksgiving Day,Children's day ,Every Day,
7-eleven FamilyMart or Lawason?,FamilyMart,Lawason,7-eleven,,,
texting or talking on the phone?,Talking on the phone,Texting,,,,
giving or receiving presents?,Receiving,Giving,,,,
walk 1 station or take the train?,Walk 1 station,Take the train,,,,
What the colour of your panties?,Pink,White,Mint Green,Black,Secret,No Panties